min	max
63,000	73,000
73,000	83,000
83,000	93,000
93,000	101,000
101,000	107,000
107,000	114,000
114,000	122,000
122,000	130,000
130,000	138,000
138,000	146,000
146,000	155,000
155,000	165,000
165,000	175,000
175,000	185,000
185,000	195,000
195,000	210,000
210,000	230,000
230,000	250,000
250,000	270,000
270,000	290,000
290,000	310,000
310,000	330,000
330,000	350,000
350,000	370,000
370,000	395,000
395,000	425,000
425,000	455,000
455,000	485,000
485,000	515,000
515,000	545,000
545,000	575,000
575,000	605,000
605,000	635,000
635,000	665,000
665,000	695,000
695,000	730,000
730,000	770,000
770,000	810,000
